build	date	time	subject	group	blockcode	blocknum	trialcode	trialnum	stimulusitem1	stimulusitem2	values.pointsthisturn	values.newtotalscore	response	latency	values.leftoption	values.rightoption	values.leftpic	values.rightpic	values.selecteddirn	values.selectedoption	values.turnnum	values.choicert	values.largegainpic_category	values.smallgainpic_category	values.smalllosspic_category	values.largelosspic_category	values.largegainpic	values.smallgainpic	values.smalllosspic	values.largelosspic	values.risky1pic	values.risky2pic	values.safe1pic	values.safe2pic
5.0.9.0	100117	22:29:32	1	1	testblock	2	smallloss	72	images/house.jpg	2	-1	39	0	0	risky1	safe2	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-blue-star-safe.jpg	right	safe2	24	130	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	safe2question	74	images/light-blue-star-safe.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	-1	39	3	147	risky2	safe2	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>light-blue-star-safe.jpg	right	safe2	25	112	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	largeloss	75	images/face-03.jpg	-9	-9	30	0	0	risky2	safe2	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>light-blue-star-safe.jpg	right	safe2	25	112	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	attention_check	76	This is halfway through the task.  Press the spacebar when you are ready to continue.	0	-9	30	57	977	risky2	safe2	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>light-blue-star-safe.jpg	right	safe2	25	112	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	risky1question	78	images/dark-red-rectangle-risky.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	-9	30	3	113	safe1	risky1	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	right	risky1	26	599	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	largeloss	79	images/face-03.jpg	-9	-9	21	0	0	safe1	risky1	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	right	risky1	26	599	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	safe2question	81	images/light-blue-star-safe.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	-9	21	3	128	risky2	safe2	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>light-blue-star-safe.jpg	right	safe2	27	144	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	smallloss	82	images/house.jpg	2	-1	20	0	0	risky2	safe2	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>light-blue-star-safe.jpg	right	safe2	27	144	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	risky2question	84	images/light-red-triangle-risky.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	-1	20	3	153	safe1	risky2	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	right	risky2	28	111	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	smallloss	85	images/house.jpg	2	-1	19	0	0	safe1	risky2	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	right	risky2	28	111	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	risky2question	87	images/light-red-triangle-risky.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	-1	19	3	195	safe2	risky2	<%values.imagespath%>light-blue-star-safe.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	right	risky2	29	54	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	smallgain	88	images/animal-silhouette-dog2nohead.jpg	2	2	21	0	0	safe2	risky2	<%values.imagespath%>light-blue-star-safe.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	right	risky2	29	54	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	risky2question	90	images/light-red-triangle-risky.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	2	21	3	185	safe1	risky2	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	right	risky2	30	78	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	largeloss	91	images/face-03.jpg	-9	-9	12	0	0	safe1	risky2	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	right	risky2	30	78	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	safe1question	93	images/dark-blue-circle-safe.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	-9	12	3	159	risky1	safe1	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	right	safe1	31	101	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	smallloss	94	images/house.jpg	2	-1	11	0	0	risky1	safe1	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	right	safe1	31	101	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	risky1question	96	images/dark-red-rectangle-risky.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	-1	11	3	158	safe1	risky1	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	right	risky1	32	101	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	largegain	97	images/hammer.jpg	10	10	21	0	0	safe1	risky1	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	right	risky1	32	101	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	risky1question	99	images/dark-red-rectangle-risky.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	10	21	3	190	safe2	risky1	<%values.imagespath%>light-blue-star-safe.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	right	risky1	33	108	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	largegain	100	images/hammer.jpg	10	10	31	0	0	safe2	risky1	<%values.imagespath%>light-blue-star-safe.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	right	risky1	33	108	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	risky2question	102	images/light-red-triangle-risky.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	10	31	3	172	safe2	risky2	<%values.imagespath%>light-blue-star-safe.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	right	risky2	34	91	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	smallgain	103	images/animal-silhouette-dog2nohead.jpg	2	2	33	0	0	safe2	risky2	<%values.imagespath%>light-blue-star-safe.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	right	risky2	34	91	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	safe2question	105	images/light-blue-star-safe.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	2	33	3	162	risky1	safe2	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-blue-star-safe.jpg	right	safe2	35	105	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	smallgain	106	images/animal-silhouette-dog2nohead.jpg	2	2	35	0	0	risky1	safe2	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-blue-star-safe.jpg	right	safe2	35	105	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	risky2question	108	images/light-red-triangle-risky.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	2	35	3	144	safe1	risky2	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	right	risky2	36	136	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	largegain	109	images/hammer.jpg	10	10	45	0	0	safe1	risky2	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	right	risky2	36	136	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	risky1question	111	images/dark-red-rectangle-risky.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	10	45	3	195	safe1	risky1	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	right	risky1	37	109	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	smallloss	112	images/house.jpg	2	-1	44	0	0	safe1	risky1	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	right	risky1	37	109	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	safe2question	114	images/light-blue-star-safe.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	-1	44	3	290	risky1	safe2	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-blue-star-safe.jpg	right	safe2	38	86	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
